ImageId,CellId,Cell_141Pr_AQP4,Cell_143Nd_SQSTM1,Cell_145Nd_UBQLN2,Cell_147Sm_Glutaminase,Cell_149Sm_C9orf72,Cell_150Nd_PDL1,Cell_151Eu_MAP2,Cell_152Sm_ATXN2,Cell_153Eu_ORF1,Cell_154Sm_pTDP43,Cell_155Gd_FoxP3,Cell_156Gd_CH24H,Cell_158Gd_GFAP,Cell_159Tb_IL6ST,Cell_160Gd_IBA1,Cell_161Dy_CX3CR1,Cell_162Dy_pTBK1,Cell_163Dy_CD4,Cell_164Dy_TMEM119,Cell_165Ho_PD1,Cell_166Er_GAD67,Cell_167Er_CD8,Cell_168Er_FUS,Cell_169Tm_ChAT,Cell_170Er_APOE,Cell_171Yb_TREM2,Cell_172Yb_PDL2,Cell_174Yb_MHCclassII,Cell_175Lu_TDP43,Cell_176Yb_TBK1,Cell_6_ALS_M_Cerebellum_240424_1_cellmasked,Area,Eccentricity,Solidity,Extent,EulerNumber,Perimeter,MajorAxisLength,MinorAxisLength,Orientation,X_position,Y_position,Percent_Touching,Number_Neighbors,neighbour_4_CellId1,neighbour_4_CellId2,neighbour_4_CellId3,neighbour_4_CellId4,neighbour_4_CellId5,neighbour_4_CellId6,neighbour_4_CellId7,neighbour_4_CellId8,neighbour_4_CellId9
65535,23,3.018348624,0.19266055,0.614678899,0.52293578,0.155963303,0.110091743,1.504587156,1.137614679,0.055045872,0.385321101,0.055045872,0.027522936,2.174311927,0.266055046,0.04587156,0.52293578,0.04587156,0.064220183,0.330275229,0,0.348623853,0.211009174,7.174311927,0.247706422,1.073394495,0.376146789,0.055045872,16.44954128,0.064220183,0.128440367,533,2528,0.62368347,0.96460177,0.838461538,23,34.999,13.43606232,10.50266086,4.210344482,130.7155963,5.19266055,0,0,0,0,0,0,0,0,0,0,0
65535,46,1.846153846,0.128205128,0.461538462,0.474358974,0.243589744,0.038461538,0.794871795,1.128205128,0.025641026,0.115384615,0.08974359,0.076923077,1.435897436,0.217948718,0.064102564,0.58974359,0.038461538,0.08974359,0.269230769,0.012820513,0.384615385,0.307692308,6.230769231,0.166666667,0.397435897,0.346153846,0.064102564,14.16666667,0.076923077,0.08974359,1067,1809,0.451941871,0.939759036,0.644628099,23,30.36,10.82230455,9.654008525,5.270167902,199.4871795,5.833333333,0,0,0,0,0,0,0,0,0,0,0
65535,70,0.58,0.1,0.4,0.24,0.02,0.04,1.9,0.64,0.04,0.28,0.02,0,0.48,0.12,0.04,0.1,0.04,0.06,0.18,0.02,0.22,0.12,10.18,0.18,0.4,0.1,0.02,8.62,0.1,0.06,1623,1160,0.928868803,0.877192982,0.641025641,23,29.202,13.86160108,5.134460272,7.742696979,55.68,5.74,0.676470588,46,139,301,0,0,0,0,0,0,0
65535,116,0.6,0.168421053,0.378947368,0.115789474,0.105263158,0.094736842,1.378947368,0.557894737,0.052631579,0.136842105,0.010526316,0.042105263,0.821052632,0.094736842,0.042105263,0.168421053,0.021052632,0.052631579,0.242105263,0,0.231578947,0.094736842,7.652631579,0.157894737,0.378947368,0.263157895,0.073684211,7.368421053,0.084210526,0.147368421,2690,2203,0.755269004,0.922330097,0.664335664,23,34.834,13.88724355,9.101906762,32.07301507,177.4105263,8.305263158,0.372093023,46,209,696,0,0,0,0,0,0,0
65535,139,1.896226415,0.179245283,0.311320755,0.320754717,0.198113208,0.066037736,1.028301887,0.962264151,0.037735849,0.132075472,0.047169811,0.037735849,2.358490566,0.330188679,0.226415094,0.386792453,0.103773585,0.037735849,0.462264151,0.009433962,0.330188679,0.169811321,4.29245283,0.264150943,0.688679245,0.29245283,0.047169811,13.70754717,0.113207547,0.160377358,3223,2458,0.741292959,0.861788618,0.627218935,23,39.333,14.87878972,9.986369986,-49.0428566,68.13207547,7.716981132,0.448979592,70,70,162,301,0,0,0,0,0,0
65535,162,2.453125,0.140625,0.453125,0.3125,0.125,0.109375,1.78125,0.8125,0.03125,0.15625,0.0625,0.046875,1.3125,0.203125,0.03125,0.40625,0.0625,0.015625,0.21875,0,0.328125,0.09375,4.921875,0.171875,0.578125,0.3125,0.078125,13.59375,0.125,0.15625,3757,1484,0.744879731,0.941176471,0.666666667,23,28.094,11.32228873,7.554217008,89.73568163,80.21875,9.09375,0.470588235,46,139,278,0,0,0,0,0,0,0
65535,186,1.78,0.22,0.82,0.22,0.08,0.14,1.64,0.8,0.04,0.14,0.04,0.06,1.36,0.24,0.02,0.36,0.06,0.02,0.22,0,0.26,0.14,8.48,0.16,0.44,0.26,0.12,12.2,0.14,0.06,4313,1160,0.664686765,0.847457627,0.555555556,23,26.878,10.12691691,7.56604392,-29.34046268,94.44,6.16,0.818181818,46,278,441,0,0,0,0,0,0,0
65535,232,2.75,0.306818182,0.511363636,0.056818182,0.056818182,0.068181818,1.545454545,1.284090909,0.056818182,0.215909091,0.022727273,0.113636364,4.204545455,0.227272727,0.056818182,0.090909091,0.079545455,0.022727273,0.579545455,0.034090909,0.238636364,0.090909091,3.454545455,0.272727273,0.965909091,0.261363636,0.125,8.75,0.068181818,0.204545455,5380,2041,0.449621782,0.956521739,0.727272727,23,30.459,11.27070343,10.0672069,-43.68113606,1018.977273,7.272727273,0,0,0,0,0,0,0,0,0,0,0
65535,255,3.348314607,0.224719101,0.404494382,0.157303371,0.06741573,0.056179775,1.719101124,1.921348315,0.056179775,0.235955056,0.02247191,0.146067416,4.696629213,0.269662921,6.707865169,0.303370787,0.08988764,0.056179775,1.707865169,0.011235955,0.404494382,0.112359551,7.202247191,0.179775281,1.348314607,0.528089888,0.08988764,9.93258427,0.101123596,0.191011236,5913,2064,0.561295705,0.946808511,0.741666667,23,30.922,11.77388889,9.744250913,-77.12397669,1205.303371,7.415730337,0,0,0,0,0,0,0,0,0,0,0
65535,278,0.794520548,0.219178082,0.493150685,0.232876712,0.260273973,0.068493151,1.602739726,0.739726027,0.02739726,0.397260274,0.04109589,0.02739726,0.753424658,0.150684932,0.02739726,0.397260274,0.04109589,0.02739726,0.219178082,0,0.136986301,0.260273973,9.01369863,0.232876712,0.273972603,0.328767123,0.02739726,11.64383562,0.04109589,0.095890411,6447,1693,0.628376212,0.890243902,0.623931624,23,32.849,11.49996669,8.945934424,86.18047352,88.32876712,10.49315068,0.864864865,93,162,186,441,673,0,0,0,0,0
