ImageId,CellId,Cell_141Pr_AQP4,Cell_143Nd_SQSTM1,Cell_145Nd_UBQLN2,Cell_147Sm_Glutaminase,Cell_149Sm_C9orf72,Cell_150Nd_PDL1,Cell_151Eu_MAP2,Cell_152Sm_ATXN2,Cell_153Eu_ORF1,Cell_154Sm_pTDP43,Cell_155Gd_FoxP3,Cell_156Gd_CH24H,Cell_158Gd_GFAP,Cell_159Tb_IL6ST,Cell_160Gd_IBA1,Cell_161Dy_CX3CR1,Cell_162Dy_pTBK1,Cell_163Dy_CD4,Cell_164Dy_TMEM119,Cell_165Ho_PD1,Cell_166Er_GAD67,Cell_167Er_CD8,Cell_168Er_FUS,Cell_169Tm_ChAT,Cell_170Er_APOE,Cell_171Yb_TREM2,Cell_172Yb_PDL2,Cell_174Yb_MHCclassII,Cell_175Lu_TDP43,Cell_176Yb_TBK1,Cell_CellMasked,Area,Eccentricity,Solidity,Extent,EulerNumber,Perimeter,MajorAxisLength,MinorAxisLength,Orientation,X_position,Y_position,Percent_Touching,Number_Neighbors,neighbour_4_CellId1,neighbour_4_CellId2,neighbour_4_CellId3,neighbour_4_CellId4,neighbour_4_CellId5,neighbour_4_CellId6,neighbour_4_CellId7,neighbour_4_CellId8,neighbour_4_CellId9,neighbour_4_CellId10
65535,28,0.047619048,0.214285714,0.119047619,0.047619048,0.095238095,0.023809524,0.595238095,0.952380952,0.023809524,0.571428571,0,0,0.333333333,0.19047619,0.047619048,0.261904762,0.023809524,0.023809524,0.357142857,0.023809524,0.285714286,0.404761905,1.642857143,0.166666667,0.095238095,0.30952381,0.119047619,4.547619048,0.095238095,0.166666667,399,598,0.578012813,0.875,0.75,14,23.967,8.453806091,6.898539839,10.78753647,467.047619,6.761904762,0.666666667,14,313,0,0,0,0,0,0,0,0,0
65535,43,0.071428571,0.19047619,0.071428571,0,0.071428571,0.119047619,1.142857143,0.976190476,0.047619048,0.238095238,0,0.023809524,0.523809524,0.119047619,0.095238095,0.095238095,0.047619048,0,0.666666667,0,0.333333333,0.476190476,1.595238095,0.238095238,0.142857143,0.976190476,0.166666667,3.523809524,0.333333333,0.285714286,612,598,0.914767556,0.875,0.7,14,26.878,12.18571814,4.922793615,-0.225849186,857.5714286,6.404761905,0.40625,28,356,612,0,0,0,0,0,0,0,0
65535,57,0.173913043,0.043478261,0.043478261,0.043478261,0.130434783,0.043478261,1.434782609,1.391304348,0,0.347826087,0,0,0.434782609,0.086956522,0.173913043,0.260869565,0.086956522,0.043478261,0.652173913,0,0.565217391,0.565217391,2.826086957,0.260869565,0.260869565,0.434782609,0.217391304,4.782608696,0.130434783,0.173913043,812,328,0.569647692,0.821428571,0.766666667,14,18.451,6.395958946,5.256768221,-88.17111668,910.0869565,6.695652174,0.555555556,14,385,0,0,0,0,0,0,0,0,0
65535,71,0.112903226,0.080645161,0.193548387,0.032258065,0.14516129,0.064516129,2.35483871,1.548387097,0.112903226,0.629032258,0.032258065,0.032258065,0.822580645,0.35483871,0.096774194,0.306451613,0.048387097,0.016129032,1.048387097,0.016129032,0.677419355,0.35483871,0.661290323,0.306451613,0.370967742,1.096774194,0.096774194,5.161290323,0.258064516,0.129032258,1011,883,0.93278087,0.659574468,0.521008403,14,50.68,17.41697663,6.277844018,3.86264292,997.1935484,7.64516129,0.411764706,28,14,541,0,0,0,0,0,0,0,0
65535,85,0.0625,0.0625,0.09375,0.046875,0.0390625,0.046875,1.515625,0.7890625,0.0078125,0.3203125,0.0546875,0,0.4765625,0.140625,0.1015625,0.21875,0.09375,0.0703125,0.7109375,0,0.375,0.3046875,0.40625,0.1953125,0.234375,0.625,0.09375,3.109375,0.1953125,0.0703125,1211,1823,0.901126913,0.810126582,0.507936508,14,52.193,20.79193765,9.014456887,16.38791598,617.828125,8.765625,0,0,0,0,0,0,0,0,0,0,0,0
65535,100,0.057471264,0.091954023,0.126436782,0.011494253,0.045977011,0.045977011,1.137931034,0.908045977,0.034482759,0.609195402,0.08045977,0.045977011,0.574712644,0.218390805,0.126436782,0.206896552,0.022988506,0.057471264,0.632183908,0,0.471264368,0.287356322,0.356321839,0.149425287,0.149425287,0.574712644,0.057471264,2.689655172,0.114942529,0.091954023,1424,1239,0.806150572,0.674418605,0.446153846,14,51.127,15.4610515,9.148465731,32.75079373,690.6666667,9.816091954,0.612244898,28,527,655,0,0,0,0,0,0,0,0
65535,114,0.075,0.0625,0.2375,0.0125,0.1125,0.0375,1.625,1.95,0.0375,0.65,0.0625,0.0375,1.0375,0.25,0.025,0.4125,0.025,0.075,1.025,0.025,0.6125,0.3625,0.3,0.3875,0.525,0.9125,0.2125,4.225,0.3,0.075,1624,1139,0.787329811,0.879120879,0.559440559,14,35.405,13.46342084,8.300630458,32.72163159,722.8625,6.5,0.302325581,14,328,0,0,0,0,0,0,0,0,0
65535,128,0.060606061,0.090909091,0.090909091,0.060606061,0.03030303,0.121212121,2.090909091,1.575757576,0.060606061,0.575757576,0.03030303,0.03030303,0.636363636,0.242424242,0.121212121,0.151515152,0.121212121,0.03030303,0.848484848,0.060606061,0.515151515,0.272727273,1.757575758,0.545454545,0.242424242,0.787878788,0.151515152,3.121212121,0.393939394,0.060606061,1823,470,0.327508731,0.76744186,0.515625,14,23.231,7.378501975,6.971563958,87.54635008,819.7878788,8.212121212,0.625,14,185,0,0,0,0,0,0,0,0,0
65535,142,0.071428571,0.089285714,0.160714286,0.071428571,0.107142857,0.035714286,0.714285714,1.696428571,0.017857143,0.589285714,0.053571429,0.053571429,0.464285714,0.214285714,0.017857143,0.339285714,0.053571429,0.017857143,0.607142857,0.035714286,0.410714286,0.410714286,0.5,0.285714286,0.125,1.107142857,0.089285714,4.267857143,0.214285714,0.053571429,2023,798,0.693986892,0.811594203,0.622222222,14,29.392,10.98406036,7.908387633,-67.1175765,1019.982143,7.857142857,0,0,0,0,0,0,0,0,0,0,0,0
65535,157,0.073529412,0.088235294,0.191176471,0.044117647,0.058823529,0.044117647,1.25,1.544117647,0.117647059,0.735294118,0.029411765,0.014705882,0.911764706,0.352941176,0.147058824,0.470588235,0.088235294,0.058823529,0.941176471,0,0.617647059,0.558823529,1.632352941,0.176470588,0.25,0.926470588,0.117647059,4.617647059,0.132352941,0.088235294,2236,969,0.804262864,0.62962963,0.386363636,14,52.492,14.76255425,8.772997921,-6.349676302,1156.838235,8.441176471,0.204081633,14,370,0,0,0,0,0,0,0,0,0
