ImageId,CellId,Cell_141Pr_AQP4,Cell_143Nd_SQSTM1,Cell_145Nd_UBQLN2,Cell_147Sm_Glutaminase,Cell_149Sm_C9orf72,Cell_150Nd_PDL1,Cell_151Eu_MAP2,Cell_152Sm_ATXN2,Cell_153Eu_ORF1,Cell_154Sm_pTDP43,Cell_155Gd_FoxP3,Cell_156Gd_CH24H,Cell_158Gd_GFAP,Cell_159Tb_IL6ST,Cell_160Gd_IBA1,Cell_161Dy_CX3CR1,Cell_162Dy_pTBK1,Cell_163Dy_CD4,Cell_164Dy_TMEM119,Cell_165Ho_PD1,Cell_166Er_GAD67,Cell_167Er_CD8,Cell_168Er_FUS,Cell_169Tm_ChAT,Cell_170Er_APOE,Cell_171Yb_TREM2,Cell_172Yb_PDL2,Cell_174Yb_MHCclassII,Cell_175Lu_TDP43,Cell_176Yb_TBK1,Cell_6_Control_M_FrontalCrtx_240424_1_cellmas,Area,Eccentricity,Solidity,Extent,EulerNumber,Perimeter,MajorAxisLength,MinorAxisLength,Orientation,X_position,Y_position,Percent_Touching,Number_Neighbors,neighbour_4_CellId1,neighbour_4_CellId2,neighbour_4_CellId3,neighbour_4_CellId4,neighbour_4_CellId5,neighbour_4_CellId6,neighbour_4_CellId7,neighbour_4_CellId8,neighbour_4_CellId9,neighbour_4_CellId10
18963,1,0.06779661,0.13559322,0.305084746,0.016949153,0.016949153,0.050847458,0.338983051,1.118644068,0,0.271186441,0.033898305,0.033898305,0.576271186,0.372881356,0.084745763,0.389830508,0.033898305,0.050847458,0.593220339,0,0.491525424,0.288135593,0.711864407,0.288135593,0.322033898,0.610169492,0.06779661,18.91525424,0.203389831,0.13559322,73,59,0.909724833,0.893939394,0.648351648,1,29.392,14.01236671,5.81809813,14.66378026,79.52542373,4.830508475,0.666666667,2,4,9,0,0,0,0,0,0,0,0
18963,2,0.109090909,0.163636364,0.309090909,0.018181818,0.018181818,0,0.363636364,0.781818182,0.072727273,0.454545455,0.054545455,0,0.218181818,0.254545455,0.072727273,0.163636364,0,0.054545455,0.618181818,0,0.290909091,0.363636364,0.381818182,0.254545455,0.563636364,0.618181818,0.054545455,12.03636364,0.036363636,0.072727273,146,55,0.493383703,0.948275862,0.763888889,1,24.612,9.161799549,7.969041118,65.35856077,740.0363636,6.309090909,0.517241379,1,3,0,0,0,0,0,0,0,0,0
18963,3,0.058252427,0.097087379,0.184466019,0.048543689,0.048543689,0.009708738,0.699029126,1.213592233,0.067961165,0.398058252,0.048543689,0.038834951,0.54368932,0.262135922,0.038834951,0.417475728,0.058252427,0.048543689,0.524271845,0.009708738,0.621359223,0.446601942,0.533980583,0.252427184,0.485436893,0.708737864,0.048543689,14.34951456,0.155339806,0.13592233,219,103,0.323309752,0.919642857,0.66025641,1,37.257,12.34766459,11.68451093,-87.79648882,732.6116505,9.048543689,0.4,1,2,0,0,0,0,0,0,0,0,0
18963,4,0.120481928,0.072289157,0.253012048,0.048192771,0.012048193,0.036144578,1.072289157,1.084337349,0.048192771,0.253012048,0.024096386,0.072289157,0.686746988,0.180722892,0.060240964,0.204819277,0.048192771,0.012048193,0.638554217,0,0.289156627,0.34939759,1.722891566,0.289156627,0.385542169,0.481927711,0.072289157,11.74698795,0.096385542,0.060240964,292,83,0.590155541,0.922222222,0.638461538,1,31.675,11.65258158,9.407007483,-80.60277788,86.46987952,9.807228916,0.65,2,1,9,0,0,0,0,0,0,0,0
18963,5,0.063829787,0.127659574,0.255319149,0,0.010638298,0.063829787,0.64893617,1.542553191,0.031914894,0.521276596,0.085106383,0,0.436170213,0.244680851,0.063829787,0.265957447,0.021276596,0.010638298,0.553191489,0,0.744680851,0.35106383,0.595744681,0.212765957,0.446808511,0.627659574,0.074468085,14.65957447,0.085106383,0.063829787,365,94,0.571842018,0.94,0.723076923,1,32.601,12.21571685,10.02133146,-14.01047935,447.6914894,8.425531915,0.512195122,2,7,14,0,0,0,0,0,0,0,0
18963,6,0.087378641,0.087378641,0.194174757,0.038834951,0.058252427,0.038834951,0.398058252,0.86407767,0.058252427,0.291262136,0.009708738,0.019417476,0.378640777,0.194174757,0.029126214,0.194174757,0.029126214,0.058252427,0.67961165,0,0.388349515,0.330097087,0.398058252,0.13592233,0.32038835,0.388349515,0.048543689,12.39805825,0.058252427,0.067961165,438,103,0.513731029,0.944954128,0.72027972,1,34.379,12.50507679,10.72874686,-18.45965502,774.4466019,9.417475728,0.23255814,1,13,0,0,0,0,0,0,0,0,0
18963,7,0.083333333,0.097222222,0.194444444,0.027777778,0.027777778,0.041666667,0.472222222,0.736111111,0.013888889,0.291666667,0.013888889,0.013888889,0.361111111,0.222222222,0.055555556,0.166666667,0.055555556,0.041666667,0.625,0,0.5,0.277777778,0.402777778,0.138888889,0.444444444,0.625,0.097222222,12.65277778,0.041666667,0.097222222,511,72,0.655999715,0.947368421,0.72,1,28.656,11.17423489,8.433878223,-57.82477533,439.0694444,10.40277778,0.542857143,2,5,14,0,0,0,0,0,0,0,0
18963,8,0.114832536,0.081339713,0.368421053,0.062200957,0.052631579,0.052631579,0.622009569,1.062200957,0.023923445,0.229665072,0.071770335,0.004784689,0.311004785,0.291866029,0.062200957,0.210526316,0.038277512,0.043062201,0.473684211,0.004784689,0.349282297,0.435406699,1.014354067,0.19138756,0.210526316,0.574162679,0.062200957,16.81818182,0.105263158,0.200956938,584,209,0.437565159,0.958715596,0.725694444,1,49.563,17.29918188,15.55519437,14.6239274,268.0095694,10.42105263,0,0,0,0,0,0,0,0,0,0,0,0
18963,9,0.04,0.053333333,0.186666667,0.066666667,0.04,0.026666667,1.013333333,1.24,0.066666667,0.293333333,0.04,0.04,1.146666667,0.253333333,0,0.213333333,0.04,0.013333333,0.706666667,0.013333333,0.24,0.266666667,1.36,0.24,0.533333333,0.28,0.04,13.97333333,0.08,0.106666667,657,75,0.732731349,0.892857143,0.625,1,31.377,12.1904555,8.295824599,-44.66295752,79.29333333,12.77333333,0.657894737,2,1,4,0,0,0,0,0,0,0,0
18963,10,0.113043478,0.086956522,0.12173913,0.017391304,0.026086957,0.043478261,1.426086957,0.965217391,0.043478261,0.165217391,0.034782609,0.017391304,0.87826087,0.104347826,2.339130435,0.147826087,0.026086957,0.12173913,0.530434783,0,0.182608696,0.252173913,2.608695652,0.147826087,0.504347826,0.513043478,0.060869565,11.15652174,0.034782609,0.095652174,730,115,0.727306748,0.950413223,0.631868132,1,36.662,14.69635253,10.08629095,35.43735463,140.4869565,14.05217391,0,0,0,0,0,0,0,0,0,0,0,0
