ImageId,CellId,Cell_141Pr_AQP4,Cell_143Nd_SQSTM1,Cell_145Nd_UBQLN2,Cell_147Sm_Glutaminase,Cell_149Sm_C9orf72,Cell_150Nd_PDL1,Cell_151Eu_MAP2,Cell_152Sm_ATXN2,Cell_153Eu_ORF1,Cell_154Sm_pTDP43,Cell_155Gd_FoxP3,Cell_156Gd_CH24H,Cell_158Gd_GFAP,Cell_159Tb_IL6ST,Cell_160Gd_IBA1,Cell_161Dy_CX3CR1,Cell_162Dy_pTBK1,Cell_163Dy_CD4,Cell_164Dy_TMEM119,Cell_165Ho_PD1,Cell_166Er_GAD67,Cell_167Er_CD8,Cell_168Er_FUS,Cell_169Tm_ChAT,Cell_170Er_APOE,Cell_171Yb_TREM2,Cell_172Yb_PDL2,Cell_174Yb_MHCclassII,Cell_175Lu_TDP43,Cell_176Yb_TBK1,Cell_191Ir_191Ir,Cell_193Ir_193Ir,Cell_CellMasked,Area,Eccentricity,Solidity,Extent,EulerNumber,Perimeter,MajorAxisLength,MinorAxisLength,Orientation,X_position,Y_position,Percent_Touching,Number_Neighbors,neighbour_4_CellId1,neighbour_4_CellId2,neighbour_4_CellId3,neighbour_4_CellId4,neighbour_4_CellId5,neighbour_4_CellId6,neighbour_4_CellId7,neighbour_4_CellId8,neighbour_4_CellId9,neighbour_4_CellId10,Selection,Sel01
65535,21,0.090909091,0.060606061,0.212121212,0.060606061,0.121212121,0.03030303,1.909090909,1.848484848,0.121212121,0.666666667,0,0.03030303,1.666666667,0.424242424,0.03030303,0.333333333,0.060606061,0.090909091,0.303030303,0.03030303,0.484848485,0.303030303,0.393939394,0.303030303,0.121212121,0.696969697,0.03030303,3.484848485,0.212121212,0.090909091,11.51515152,22.36363636,444,698,0.706707854,0.891891892,0.673469388,21,19.468,8.061596476,5.703623708,-44.06616058,258.8181818,4.909090909,0.826086957,42,190,1163,0,0,0,0,0,0,0,0,0,0
65535,42,0.125,0.2,0.075,0.025,0.025,0.1,0.875,2.25,0.075,0.475,0.05,0.025,0.65,0.3,0.175,0.15,0.025,0.025,0.35,0.05,0.625,0.4,0.225,0.45,0.05,0.4,0.1,5.425,0.2,0,12.775,21.6,888,846,0.723994308,0.930232558,0.740740741,21,21.246,8.857109704,6.109686928,86.36749682,1391.3,6.875,0.64,63,148,634,1142,0,0,0,0,0,0,0,0,0
65535,63,0.103448276,0.068965517,0.172413793,0.051724138,0.068965517,0.017241379,1.155172414,1.775862069,0.103448276,0.75862069,0.051724138,0.034482759,1.155172414,0.344827586,0.155172414,0.206896552,0.051724138,0.051724138,0.810344828,0,0.689655172,0.448275862,0.25862069,0.25862069,0.137931034,0.448275862,0.068965517,4.172413793,0.310344828,0.051724138,11.86206897,22.05172414,1332,1226,0.663077077,0.966666667,0.659090909,21,25.58,10.1131735,7.570227422,-1.977179579,462.9310345,6.655172414,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65535,85,0.137254902,0.117647059,0.049019608,0.029411765,0.117647059,0.058823529,1.598039216,1.37254902,0.068627451,0.421568627,0.029411765,0.009803922,1.578431373,0.156862745,0.058823529,0.166666667,0.068627451,0.009803922,0.441176471,0.019607843,0.392156863,0.382352941,0.205882353,0.254901961,0.235294118,0.617647059,0.098039216,4.81372549,0.274509804,0.088235294,15.25490196,29.94117647,1797,2156,0.860499935,0.918918919,0.56043956,21,39.532,16.53330093,8.422899233,43.0342359,551.7058824,8.411764706,0.28,21,1015,0,0,0,0,0,0,0,0,0,0,0
65535,106,0.254545455,0.109090909,0.072727273,0.054545455,0,0.018181818,1.527272727,1.218181818,0.054545455,0.309090909,0.018181818,0.072727273,1.672727273,0.254545455,0.2,0.163636364,0.018181818,0.145454545,1.309090909,0.054545455,0.4,0.2,0.381818182,0.254545455,0.181818182,0.472727273,0.181818182,6.618181818,0.236363636,0.145454545,12.90909091,22.78181818,2241,1163,0.822511136,0.916666667,0.6875,21,25.745,11.32501744,6.441092405,-22.84329391,604.7090909,6.981818182,0.225806452,21,1057,0,0,0,0,0,0,0,0,0,0,0
65535,127,0.24137931,0.172413793,0.068965517,0.086206897,0,0.120689655,0.982758621,1.775862069,0.034482759,0.396551724,0.051724138,0.017241379,1.672413793,0.551724138,0.017241379,0.172413793,0.034482759,0.086206897,0.275862069,0.017241379,0.5,0.206896552,0.344827586,0.224137931,0.034482759,0.517241379,0.137931034,3.396551724,0.189655172,0.034482759,14.06896552,28.51724138,2685,1226,0.759470525,21,0.753246753,21,24.91,10.73414046,6.983006125,-12.28933935,814.0344828,6.948275862,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65535,148,0.096774194,0.096774194,0.161290323,0,0.032258065,0.225806452,1.193548387,2.903225806,0.064516129,0.64516129,0.032258065,0.032258065,0.903225806,0.451612903,0.161290323,0.064516129,0.064516129,0.032258065,0.258064516,0,0.741935484,0.580645161,0.677419355,0.483870968,0.032258065,0.612903226,0.032258065,4.903225806,0.129032258,0.064516129,14.29032258,550,3129,655,0.77687228,0.885714286,0.632653061,21,19.377,8.351542505,5.258617296,38.62498708,1396.677419,6.322580645,21,85,42,381,634,1142,0,0,0,0,0,0,0,0
65535,169,0.170731707,0.097560976,0.048780488,0,0.097560976,0.073170732,0.926829268,1.317073171,0.024390244,1.146341463,0.048780488,0.048780488,1.195121951,0.243902439,0,0.195121951,0.073170732,0.073170732,0.243902439,0,0.975609756,0.317073171,0.243902439,0.317073171,0.048780488,0.414634146,0.073170732,3.634146341,0.146341463,0.170731707,12.2195122,20.07317073,3573,867,0.75649413,0.953488372,0.732142857,21,22.098,9.235515198,6.040031393,37.50766364,117.9268293,7.195121951,0.571428571,21,972,0,0,0,0,0,0,0,0,0,0,0
65535,190,0.097560976,0.12195122,0.024390244,0,0.073170732,0.048780488,0.609756098,1.317073171,0.048780488,0.487804878,0,0,1.56097561,0.243902439,0.024390244,0.219512195,0.024390244,0,0.341463415,0,0.951219512,0.341463415,0.292682927,0.292682927,0.024390244,0.43902439,0.12195122,3.414634146,0.195121951,0.097560976,11.7804878,20.46341463,4017,867,0.309934945,0.931818182,0.640625,21,21.825,7.668846628,7.29121549,-62.00567445,5581,8.56097561,21,106,21,550,1163,1268,1670,0,0,0,0,0,0,0
65535,211,0.15,0.166666667,0.05,0.05,0.166666667,0.033333333,NaN,2.35,0.05,0.85,0.016666667,0.016666667,0.75,0.25,0.15,0.25,0.016666667,0.066666667,0.316666667,0,0.933333333,0.333333333,0.266666667,0.35,0.033333333,0.45,0.133333333,4.166666667,0.2,0.05,11.16666667,21.91666667,4461,1268,0.278140193,0.983606557,0.6,21,26.06,9.149644517,8.788604029,24.99149388,359.3,8.016666667,0.342857143,42,1860,1881,0,0,0,0,0,0,0,0,0,0
