ImageId,CellId,Cell_141Pr_AQP4,Cell_143Nd_SQSTM1,Cell_145Nd_UBQLN2,Cell_147Sm_Glutaminase,Cell_149Sm_C9orf72,Cell_150Nd_PDL1,Cell_151Eu_MAP2,Cell_152Sm_ATXN2,Cell_153Eu_ORF1,Cell_154Sm_pTDP43,Cell_155Gd_FoxP3,Cell_156Gd_CH24H,Cell_158Gd_GFAP,Cell_159Tb_IL6ST,Cell_160Gd_IBA1,Cell_161Dy_CX3CR1,Cell_162Dy_pTBK1,Cell_163Dy_CD4,Cell_164Dy_TMEM119,Cell_165Ho_PD1,Cell_166Er_GAD67,Cell_167Er_CD8,Cell_168Er_FUS,Cell_169Tm_ChAT,Cell_170Er_APOE,Cell_171Yb_TREM2,Cell_172Yb_PDL2,Cell_174Yb_MHCclassII,Cell_175Lu_TDP43,Cell_176Yb_TBK1,Cell_191Ir_191Ir,Cell_193Ir_193Ir,Cell_CellMasked,Area,Eccentricity,Solidity,Extent,EulerNumber,Perimeter,MajorAxisLength,MinorAxisLength,Orientation,X_position,Y_position,Percent_Touching,Number_Neighbors,neighbour_4_CellId1,neighbour_4_CellId2,neighbour_4_CellId3,neighbour_4_CellId4,neighbour_4_CellId5,neighbour_4_CellId6,neighbour_4_CellId7,neighbour_4_CellId8,neighbour_4_CellId9,Selection,Sel01
65535,19,1.790322581,0.032258065,0.14516129,0,0,0.064516129,0.629032258,1.016129032,0.032258065,0.225806452,0.048387097,0.032258065,7.096774194,0.419354839,0.112903226,0.129032258,0,0,0.112903226,0,0.35483871,0.129032258,1.709677419,0.096774194,0.290322581,0.403225806,0.080645161,10.24193548,0.016129032,0.064516129,24.91935484,45.74193548,365,1190,0.673185824,0.953846154,0.704545455,19,26.233,10.51269755,7.773859754,1.977671133,709.0483871,5.564516129,0,0,0,0,0,0,0,0,0,0,0,0,1
65535,38,2.516853933,0.112359551,0.134831461,0.02247191,0.011235955,0.078651685,0.528089888,1.460674157,0.056179775,0.101123596,0.02247191,0.078651685,11.21348315,0.292134831,0.157303371,0.191011236,0.033707865,0.033707865,0.202247191,0.011235955,0.348314607,0.280898876,6.539325843,0.123595506,0.696629213,0.235955056,0.056179775,6.584269663,0.033707865,0.056179775,41.12359551,72.42696629,730,1709,0.599499452,0.967391304,0.741666667,19,31.096,12.02190628,9.622035234,8.557917067,1100.460674,7.280898876,0,0,0,0,0,0,0,0,0,0,0,0,0
65535,58,1.222222222,0.111111111,0.148148148,0.055555556,0.055555556,0.092592593,0.537037037,1.185185185,0.055555556,0.111111111,0.037037037,0.037037037,5.814814815,0.259259259,0.185185185,0.12962963,0.018518519,0.018518519,0.185185185,0,0.222222222,0.259259259,4.166666667,0.074074074,0.703703704,0.333333333,0.092592593,6.555555556,0,0.111111111,21.83333333,40.77777778,1114,1037,0.47899754,0.981818182,0.75,19,23.413,8.955389636,7.861186487,-4.979741809,686.0740741,6.907407407,0.5,19,346,0,0,0,0,0,0,0,0,0,1
65535,77,2.4,0.044444444,0.111111111,0.044444444,0.044444444,0.044444444,0.377777778,1.088888889,0.044444444,0.222222222,0.088888889,0.022222222,8.577777778,0.444444444,0.022222222,0.222222222,0.044444444,0.044444444,0.088888889,0.022222222,0.333333333,0.088888889,0.844444444,0.022222222,0.488888889,0.4,0.111111111,9.533333333,0.088888889,0.022222222,16.44444444,28.68888889,1479,864,0.642029844,0.97826087,0.714285714,19,21.726,8.764726757,6.719737608,13.79404068,815.5111111,7.244444444,0.333333333,19,422,0,0,0,0,0,0,0,0,0,1
65535,96,NaN,0.230769231,0,0.038461538,0.076923077,0.076923077,0.192307692,1.230769231,0,NaN,0,0.038461538,4.269230769,0.307692308,0.269230769,0.153846154,0.038461538,0,0.192307692,0.038461538,0.384615385,0.192307692,0.576923077,0.192307692,0.423076923,0.269230769,0.076923077,4.346153846,0.076923077,0.038461538,14.5,518,1843,499,0.467741199,19,0.722222222,19,14.994,6.223325722,5.50058272,-45,1309.346154,8.346153846,0.25,19,595,0,0,0,0,0,0,0,0,0,0
65535,115,2.055555556,0.111111111,0.111111111,0.027777778,0.055555556,0.027777778,0.138888889,1.694444444,0.027777778,0.416666667,0.111111111,0.027777778,14.47222222,0.083333333,1.472222222,0.083333333,0.055555556,0.027777778,0.055555556,0.027777778,0.333333333,0.166666667,0.666666667,0.111111111,0.305555556,0.305555556,0.083333333,5.055555556,0.055555556,0.083333333,15.05555556,26.41666667,2208,691,0.711584258,0.972972973,0.75,19,18.732,8.187863297,5.752799067,11.97278161,1412.388889,7.75,0,0,0,0,0,0,0,0,0,0,0,0,0
65535,134,1.746268657,0.194029851,0.119402985,0.029850746,0.029850746,0.104477612,0.432835821,1.865671642,0.044776119,0.268656716,0.029850746,0.134328358,14.80597015,0.686567164,0.820895522,0.208955224,0,0.059701493,0.164179104,0.014925373,0.223880597,0.253731343,2.925373134,0.164179104,0.880597015,0.223880597,0.014925373,11.14925373,0.104477612,0.179104478,15.97014925,29.70149254,2573,1287,0.62201212,19,0.8375,19,26.2,10.50796236,8.227814536,73.6760447,122.7014925,9.537313433,0.3125,19,634,0,0,0,0,0,0,0,0,0,1
65535,154,2.102564103,0.076923077,0.179487179,0.051282051,0,0.051282051,0.282051282,1.794871795,0.025641026,0.179487179,0.051282051,0,NaN,0.487179487,1.256410256,0.282051282,0,0.025641026,0.179487179,0.025641026,0.153846154,0.205128205,0.41025641,0.102564103,0.41025641,0.333333333,0.051282051,10.8974359,0.051282051,0.025641026,14.74358974,30.02564103,2957,749,0.684476387,19,0.722222222,19,19.948,8.356075968,6.091872099,9.16503782,138.2307692,9.615384615,0,0,0,0,0,0,0,0,0,0,0,0,0
65535,173,1.514285714,0.142857143,0.228571429,0.057142857,0.028571429,0.114285714,0.657142857,1.257142857,0,0.057142857,0,0.057142857,11.97142857,0.542857143,0.2,0.257142857,0.028571429,0,0.171428571,0,0.2,0.2,2.028571429,0.028571429,0.714285714,0.2,0.142857143,8.057142857,0.057142857,0.057142857,18.94285714,37.28571429,3322,672,0.778200886,0.921052632,0.648148148,19,20.692,8.835453061,5.54880086,-9.983438861,362.9142857,7.885714286,0.84,38,211,269,0,0,0,0,0,0,0,0,1
65535,192,1.32,0.14,0.2,0,0.06,0.02,0.4,1.52,0.02,0.22,0.06,0.02,15.54,0.2,0.26,0.12,0.04,0.06,0.06,0.02,0.42,0.3,0.42,0.1,0.16,0.34,0.08,4.78,0.02,0.1,15.68,27.76,3687,960,0.742509401,0.943396226,0.625,19,23.438,9.974796624,6.681474312,23.05071673,1174.48,7.74,0.4375,19,538,0,0,0,0,0,0,0,0,0,0
